GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mortal-kombat,com.mlavrenko.model.figth,FailedFightResult,9,31,0,0,0,5,2,5,2,5
mortal-kombat,com.mlavrenko.model.figth,DefaultFightResult,0,21,0,0,0,8,0,4,0,4
mortal-kombat,com.mlavrenko,SimpleGameStarter,85,0,4,0,22,0,6,0,4,0
mortal-kombat,com.mlavrenko,Application,5,0,0,0,3,0,2,0,2,0
mortal-kombat,com.mlavrenko.utils,FileUtils,90,135,20,12,0,18,16,3,0,3
mortal-kombat,com.mlavrenko.command,CommandMapper,3,38,0,0,2,9,1,2,1,2
mortal-kombat,com.mlavrenko.view,ConsoleGameView,24,78,0,0,12,20,6,7,6,7
mortal-kombat,com.mlavrenko.view,TextConstants,3,0,0,0,2,0,1,0,1,0
mortal-kombat,com.mlavrenko.controller,DefaultGameController,0,90,0,6,0,32,0,11,0,8
mortal-kombat,com.mlavrenko.model.character,CharacterFactory,3,35,0,0,2,4,1,2,1,2
mortal-kombat,com.mlavrenko.model.character,ShaoKahn,12,3,0,0,2,1,2,1,2,1
mortal-kombat,com.mlavrenko.model.character,Raiden,12,3,0,0,3,1,2,1,2,1
mortal-kombat,com.mlavrenko.model.character,SonyaBlade,12,3,0,0,2,1,2,1,2,1
mortal-kombat,com.mlavrenko.model.character,SubZero,0,15,0,0,0,3,0,3,0,3
mortal-kombat,com.mlavrenko.helper,FileGameCaretaker,0,16,0,0,0,5,0,3,0,3
mortal-kombat,com.mlavrenko.model.game,MortalKombatGame,0,73,0,0,0,16,0,11,0,11
mortal-kombat,com.mlavrenko.model.game,GameMemento,0,9,0,0,0,4,0,2,0,2
